# AuxiliaryHangulDecompositions-5.0.0d3.txt
# =========================================
#
# This is a data file to be used on top of the standard datafile
# UnicodeData-5.0.0.txt and the arithmetic canonical decomposition of
# precomposed Hangul syllable characters. Later versions of the
# UnicodeData.txt datafile may be suitable to use without any change
# to this data file.
#
# Only the Hangul characters that have a decomposition mapping
# that is DIFFERENT from that found in UnicodeData-5.0.0.txt are
# listed in this datafile.
#
# The use of the data in this file is described in Unicode Technical
# Note NN, "Auxiliary character decompositions for supporting Hangul".
#
# Note that the standard normalisations according to UAX 15 must use
# the decompositions in the UnicodeData.txt datafile only. The auxiliary
# decomposition mappings listed in this data file are intended for 
# applications that do additional decomposition or composition of Hangul
# data (e.g., collation, rendering, or "hypernormalisation" called for
# by a user editing command, or other specified "hypernormalisations"
# using this data). It may be possible to use this data together with
# other composition data, that are either on top of this data (like
# those in AuxiliaryKSX1001Decompositions.txt) or are independent of
# the auxiliary data given here.
#
# Format:
#   Field 1: Unicode code point (the entries are ordered on this field),
#   Field 2: auxiliary decomposition mapping (overrides UnicodeData.txt),
#   Finally, in a comment, the character name and some additional comments.
#
1101; 1100 1100	# HANGUL CHOSEONG SSANGKIYEOK
1104; 1103 1103	# HANGUL CHOSEONG SSANGTIKEUT
1108; 1107 1107	# HANGUL CHOSEONG SSANGPIEUP
110A; 1109 1109	# HANGUL CHOSEONG SSANGSIOS
110D; 110C 110C	# HANGUL CHOSEONG SSANGCIEUC
#
# Note that the IEUNG- and -IEUNG composites (that are not KAPYEOUN-), except SSANGIEUNG, are treated as YESIEUNG composites,
# as that is what they most likely really were inteded to be. Note that HCH does use YESIEUNG in a leading position.
#
1113; 1102 1100	# HANGUL CHOSEONG NIEUN-KIYEOK
1114; 1102 1102	# HANGUL CHOSEONG SSANGNIEUN
1115; 1102 1103	# HANGUL CHOSEONG NIEUN-TIKEUT
1116; 1102 1107	# HANGUL CHOSEONG NIEUN-PIEUP
1117; 1103 1100	# HANGUL CHOSEONG TIKEUT-KIYEOK
1118; 1105 1102	# HANGUL CHOSEONG RIEUL-NIEUN
1119; 1105 1105	# HANGUL CHOSEONG SSANGRIEUL
111A; 1105 1112	# HANGUL CHOSEONG RIEUL-HIEUH
111B; 1105 110B	# HANGUL CHOSEONG KAPYEOUNRIEUL, (RIEUL-IEUNG, according to HCH)
111C; 1106 1107	# HANGUL CHOSEONG MIEUM-PIEUP
111D; 1106 110B	# HANGUL CHOSEONG KAPYEOUNMIEUM, (MIEUM-IEUNG, generalised from HCH)
111E; 1107 1100	# HANGUL CHOSEONG PIEUP-KIYEOK
111F; 1107 1102	# HANGUL CHOSEONG PIEUP-NIEUN
1120; 1107 1103	# HANGUL CHOSEONG PIEUP-TIKEUT
1121; 1107 1109	# HANGUL CHOSEONG PIEUP-SIOS
1122; 1121 1100	# HANGUL CHOSEONG PIEUP-SIOS-KIYEOK, [1107 1109 1100, 1107 112D]
1123; 1121 1103	# HANGUL CHOSEONG PIEUP-SIOS-TIKEUT, [1107 1109 1103, 1107 112F]
1124; 1121 1107	# HANGUL CHOSEONG PIEUP-SIOS-PIEUP, [1107 1109 1107, 1107 1132]
1125; 1121 1109	# HANGUL CHOSEONG PIEUP-SSANGSIOS, [1107 1109 1109, 1107 110A]
1126; 1121 110C	# HANGUL CHOSEONG PIEUP-SIOS-CIEUC, [1107 1109 110C, 1107 1136]
1127; 1107 110C	# HANGUL CHOSEONG PIEUP-CIEUC
1128; 1107 110E	# HANGUL CHOSEONG PIEUP-CHIEUCH
1129; 1107 1110	# HANGUL CHOSEONG PIEUP-THIEUTH
112A; 1107 1111	# HANGUL CHOSEONG PIEUP-PHIEUPH
112B; 1107 110B	# HANGUL CHOSEONG KAPYEOUNPIEUP, (PIEUP-IEUNG, according to HCH)
112C; 1108 110B	# HANGUL CHOSEONG KAPYEOUNSSANGPIEUP, (SSANGPIEUP-IEUNG, generalised from HCH) [1107 1107 110B, 1107 112B]
112D; 1109 1100	# HANGUL CHOSEONG SIOS-KIYEOK
112E; 1109 1102	# HANGUL CHOSEONG SIOS-NIEUN
112F; 1109 1103	# HANGUL CHOSEONG SIOS-TIKEUT
1130; 1109 1105	# HANGUL CHOSEONG SIOS-RIEUL
1131; 1109 1106	# HANGUL CHOSEONG SIOS-MIEUM
1132; 1109 1107	# HANGUL CHOSEONG SIOS-PIEUP
1133; 1132 1100	# HANGUL CHOSEONG SIOS-PIEUP-KIYEOK, [1109 1107 1100, 1109 111E]
1134; 110A 1109	# HANGUL CHOSEONG SIOS-SSANGSIOS, [1109 1109 1109, 1109 110A]
1135; 1109 114C	# HANGUL CHOSEONG SIOS-IEUNG, (SIOS-YESIEUNG, *not* ieung;  was: 1109 110B) [SIOS-IEUNG can be encoded as <C.SIOS, C.FILLER, C.IEUNG>]
1136; 1109 110C	# HANGUL CHOSEONG SIOS-CIEUC
1137; 1109 110E	# HANGUL CHOSEONG SIOS-CHIEUCH
1138; 1109 110F	# HANGUL CHOSEONG SIOS-KHIEUKH
1139; 1109 1110	# HANGUL CHOSEONG SIOS-THIEUTH
113A; 1109 1111	# HANGUL CHOSEONG SIOS-PHIEUPH
113B; 1109 1112	# HANGUL CHOSEONG SIOS-HIEUH
113D; 113C 113C	# HANGUL CHOSEONG CHITUEUMSSANGSIOS
113F; 113E 113E	# HANGUL CHOSEONG CEONGCHIEUMSSANGSIOS
1141; 114C 1100	# HANGUL CHOSEONG IEUNG-KIYEOK, (YESIEUNG-KIYEOK, *not* ieung;  was: 110B 1100; note: HCH uses leading YESIEUNG)
1142; 114C 1103	# HANGUL CHOSEONG IEUNG-TIKEUT, (YESIEUNG-TIKEUT, *not* ieung;  was: 110B 1103)
1143; 114C 1106	# HANGUL CHOSEONG IEUNG-MIEUM, (YESIEUNG-MIEUM, *not* ieung;  was: 110B 1106)
1144; 114C 1107	# HANGUL CHOSEONG IEUNG-PIEUP, (YESIEUNG-PIEUP, *not* ieung;  was: 110B 1107)
1145; 114C 1109	# HANGUL CHOSEONG IEUNG-SIOS, (YESIEUNG-SIOS, *not* ieung;  was: 110B 1109)
1146; 114C 1140	# HANGUL CHOSEONG IEUNG-PANSIOS, (YESIEUNG-PANSIOS, *not* ieung;  was: 110B 1140)
1147; 110B 110B	# HANGUL CHOSEONG SSANGIEUNG, (ssangieung according to HCH), NOT ssangyesieung
1148; 114C 110C	# HANGUL CHOSEONG IEUNG-CIEUC, (YESIEUNG-CIEUC, *not* ieung;  was: 110B 110C)
1149; 114C 110E	# HANGUL CHOSEONG IEUNG-CHIEUCH, (YESIEUNG-CHIEUCH, *not* ieung;  was: 110B 110E)
114A; 114C 1110	# HANGUL CHOSEONG IEUNG-THIEUTH, (YESIEUNG-THIEUTH, *not* ieung;  was: 110B 1110)
114B; 114C 1111	# HANGUL CHOSEONG IEUNG-PHIEUPH, (YESIEUNG-PHIEUPH, *not* ieung;  was: 110B 1111)
114D; 110C 114C	# HANGUL CHOSEONG CIEUC-IEUNG, (CIEUC-YESIEUNG, *not* ieung;  was: 110C 110B)
114F; 114E 114E	# HANGUL CHOSEONG CHITUEUMSSANGCIEUC
1151; 1150 1150	# HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
1152; 110E 110F	# HANGUL CHOSEONG CHIEUCH-KHIEUKH
1153; 110E 1112	# HANGUL CHOSEONG CHIEUCH-HIEUH
1156; 1111 1107	# HANGUL CHOSEONG PHIEUPH-PIEUP
1157; 1111 110B	# HANGUL CHOSEONG KAPYEOUNPHIEUPH, (PHIEUPH-IEUNG, generalised from HCH)
1158; 1112 1112	# HANGUL CHOSEONG SSANGHIEUH
##
1162; 1161 1175	# HANGUL JUNGSEONG AE (A-I),		[the unused I-EO  <1175,1165> is a confusable]
1164; 1163 1175	# HANGUL JUNGSEONG YAE (YA-I),	[the unused I-YEO <1175,1167> is a confusable]
1166; 1165 1175	# HANGUL JUNGSEONG E (EO-I)
1168; 1167 1175	# HANGUL JUNGSEONG YE (YEO-I)
116A; 1169 1161	# HANGUL JUNGSEONG WA (O-A)
116B; 116A 1175	# HANGUL JUNGSEONG WAE (O-A-I), [1169 1161 1175, 1169 1162]
116C; 1169 1175	# HANGUL JUNGSEONG OE (O-I)
116F; 116E 1165	# HANGUL JUNGSEONG WEO (U-EO)
1170; 116F 1175	# HANGUL JUNGSEONG WE (U-EO-I), [116E 1165 1175, 116E 1166]
1171; 116E 1175	# HANGUL JUNGSEONG WI (U-I)
1174; 1173 1175	# HANGUL JUNGSEONG YI (EU-I)
#
1176; 1161 1169	# HANGUL JUNGSEONG A-O
1177; 1161 116E	# HANGUL JUNGSEONG A-U
1178; 1163 1169	# HANGUL JUNGSEONG YA-O
1179; 1163 116D	# HANGUL JUNGSEONG YA-YO
117A; 1165 1169	# HANGUL JUNGSEONG EO-O
117B; 1165 116E	# HANGUL JUNGSEONG EO-U
